Date,week,,,Day,,,Evening,,,Night,,,Day off,,,Leave
,,DM,Brine,HCl,DM,Brine,HCl,DM,Brine,HCl,DM,Brine,HCl,DM,Brine,HCl
10/1,Thu,小豬,小新,廣志,小豬/屹耳,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼, , 
10/2,Fri,維尼,小新,廣志,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男, , , 
10/3,Sat,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男,屹耳,風間,阿呆, , , 
10/4,Sun,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男,屹耳,風間,阿呆, , , 
10/5,Mon,維尼,小新,廣志,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白, , , 
10/6,Tue,維尼,小新,廣志,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白, , , 
10/7,Wed,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼,小新,廣志, , , 
10/8,Thu,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼,小新,廣志, , , 
10/9,Fri,小豬,小葵,小白,屹耳,風間,阿呆,維尼,小新,廣志,羅賓,妮妮,正男, , , 
10/10,Sat,小豬,小葵,小白,屹耳,風間,阿呆,維尼,小新,廣志,羅賓,妮妮,正男, , , 
10/11,Sun,小豬,小葵,小白,羅賓,妮妮,正男,維尼,小新,廣志,屹耳,風間,阿呆, , , 
10/12,Mon,小豬,小葵,小白,羅賓,妮妮,正男,維尼,小新,廣志,屹耳,風間,阿呆, , , 
10/13,Tue,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼,小新,廣志,小豬,小葵,小白, , , 
10/14,Wed,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼,小新,廣志,小豬,小葵,小白, , , 
10/15,Thu,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白,維尼,小新,廣志, , , 
10/16,Fri,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白,維尼,小新,廣志, , , 
10/17,Sat,屹耳,風間,阿呆,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男, , , 
10/18,Sun,屹耳,風間,阿呆,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男, , , 
10/19,Mon,羅賓,妮妮,正男,維尼,小新,廣志,小豬,小葵,小白,屹耳,風間,阿呆, , , 
10/20,Tue,羅賓,妮妮,正男,維尼,小新,廣志,小豬,小葵,小白,屹耳,風間,阿呆, , , 
10/21,Wed,羅賓,妮妮,正男,維尼,小新,廣志,屹耳,風間,阿呆,小豬,小葵,小白, , , 
10/22,Thu,羅賓,妮妮,正男,維尼,小新,廣志,屹耳,風間,阿呆,小豬,小葵,小白, , , 
10/23,Fri,羅賓,妮妮,正男,小豬,小葵,小白,屹耳,風間,阿呆,維尼,小新,廣志, , , 
10/24,Sat,羅賓,妮妮,正男,小豬,小葵,小白,屹耳,風間,阿呆,維尼,小新,廣志, , , 
10/25,Sun,維尼,小新,廣志,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男, , , 
10/26,Mon,維尼,小新,廣志,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男, , , 
10/27,Tue,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男,屹耳,風間,阿呆, , , 
10/28,Wed,維尼,小新,廣志,小豬,小葵,小白,羅賓,妮妮,正男,屹耳,風間,阿呆, , , 
10/29,Thu,維尼,小新,廣志,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白, , , 
10/30,Fri,維尼,小新,廣志,屹耳,風間,阿呆,羅賓,妮妮,正男,小豬,小葵,小白, , , 
10/31,Sat,小豬,小葵,小白,屹耳,風間,阿呆,羅賓,妮妮,正男,維尼,小新,廣志, , , 
